TicketID,DateReceived,Resolution Time,ResponseTime(In Hrs),SLAStatus,IssueCategory,ReceivedTimeOfDay,AssignedAgent,Escalated,UserSatisfaction,Status
29,02-06-2024,12-06-2024,5,Yes,Software,Evening,Agent7,No,3,Closed
30,29-05-2024,11-06-2024,1,No,Network,Evening,Agent18,No,3,Closed
31,11-07-2024,17-07-2024,4,Yes,Hardware,Evening,Agent18,No,1,Open
32,24-05-2024,08-06-2024,1,Yes,Software,Night,Agent6,No,5,Pending
33,25-11-2024,10-12-2024,1,Yes,Software,Night,Agent16,No,4,Closed
34,22-06-2024,29-06-2024,5,Yes,Hardware,Afternoon,Agent20,No,1,Open
35,06-09-2024,18-09-2024,4,No,Network,Morning,Agent19,No,5,Pending
36,12-11-2024,18-11-2024,3,Yes,Account,Afternoon,Agent16,No,5,Closed
37,14-12-2024,19-12-2024,4,Yes,Network,Night,Agent2,No,5,Closed
38,08-12-2024,23-12-2024,3,No,Software,Evening,Agent3,Yes,4,Closed
39,24-06-2024,08-07-2024,1,No,Hardware,Evening,Agent16,No,2,Pending
40,27-04-2024,11-05-2024,5,No,Account,Night,Agent4,Yes,5,Open
41,26-03-2024,07-04-2024,1,No,Software,Afternoon,Agent2,No,5,Open
42,22-02-2024,29-02-2024,3,Yes,Account,Morning,Agent18,No,4,Pending
43,11-01-2024,23-01-2024,5,No,Hardware,Night,Agent2,No,4,Closed
44,18-01-2024,30-01-2024,3,Yes,Hardware,Night,Agent11,Yes,4,Open
45,18-05-2024,30-05-2024,1,No,Hardware,Morning,Agent14,Yes,5,Open
46,31-10-2024,13-11-2024,3,No,Network,Morning,Agent19,No,1,Pending
47,13-02-2024,28-02-2024,2,No,Hardware,Afternoon,Agent6,No,2,Open
48,29-09-2024,11-10-2024,2,Yes,Software,Night,Agent12,No,3,Closed
49,07-07-2024,12-07-2024,1,No,Account,Morning,Agent10,Yes,4,Closed
50,04-01-2024,15-01-2024,4,No,Hardware,Morning,Agent11,No,3,Open
51,24-07-2024,30-07-2024,1,No,Software,Afternoon,Agent5,No,4,Open
52,16-05-2024,22-05-2024,3,Yes,Network,Evening,Agent4,Yes,3,Open
53,06-08-2024,20-08-2024,5,Yes,Software,Night,Agent6,Yes,4,Closed
54,05-03-2024,14-03-2024,5,No,Hardware,Afternoon,Agent16,No,1,Closed
55,16-03-2024,31-03-2024,2,No,Account,Night,Agent7,Yes,1,Pending
56,07-03-2024,15-03-2024,1,Yes,Hardware,Morning,Agent15,Yes,4,Pending
57,08-02-2024,13-02-2024,3,Yes,Network,Morning,Agent3,No,2,Open
58,04-07-2024,15-07-2024,2,Yes,Software,Night,Agent1,Yes,2,Pending
59,18-08-2024,25-08-2024,3,Yes,Software,Night,Agent7,Yes,4,Pending
60,06-08-2024,14-08-2024,5,Yes,Network,Evening,Agent20,No,3,Closed
61,01-11-2024,06-11-2024,2,Yes,Network,Evening,Agent1,No,3,Pending
62,09-06-2024,22-06-2024,5,No,Account,Night,Agent16,Yes,1,Closed
63,02-07-2024,09-07-2024,3,No,Account,Evening,Agent14,Yes,5,Pending
64,25-05-2024,01-06-2024,4,No,Software,Afternoon,Agent4,No,4,Closed
65,09-03-2024,18-03-2024,1,Yes,Hardware,Evening,Agent14,Yes,1,Pending
66,13-05-2024,23-05-2024,5,Yes,Software,Morning,Agent19,Yes,4,Pending
67,23-06-2024,02-07-2024,2,Yes,Hardware,Evening,Agent17,No,1,Open
68,11-07-2024,16-07-2024,4,No,Network,Evening,Agent12,Yes,3,Pending
69,13-02-2024,27-02-2024,2,Yes,Hardware,Afternoon,Agent15,Yes,3,Closed
70,16-05-2024,26-05-2024,4,Yes,Network,Night,Agent7,No,4,Open
71,24-07-2024,31-07-2024,4,No,Account,Night,Agent14,Yes,1,Open
72,05-09-2024,11-09-2024,1,No,Network,Evening,Agent20,No,2,Open
73,25-09-2024,04-10-2024,5,Yes,Network,Morning,Agent5,Yes,4,Open
74,11-08-2024,20-08-2024,4,No,Account,Morning,Agent4,No,4,Open
75,07-06-2024,14-06-2024,5,Yes,Network,Night,Agent1,Yes,2,Open
76,15-02-2024,21-02-2024,1,Yes,Network,Morning,Agent13,Yes,1,Closed
77,08-02-2024,16-02-2024,1,No,Software,Afternoon,Agent11,Yes,3,Pending
78,28-09-2024,07-10-2024,1,No,Network,Afternoon,Agent15,Yes,2,Pending
79,15-12-2024,29-12-2024,4,No,Software,Morning,Agent15,Yes,5,Closed
80,12-10-2024,26-10-2024,5,Yes,Account,Evening,Agent6,No,5,Pending
81,19-01-2024,02-02-2024,1,Yes,Network,Afternoon,Agent12,No,4,Closed
82,21-08-2024,26-08-2024,2,No,Hardware,Night,Agent3,Yes,4,Open
83,12-05-2024,27-05-2024,5,Yes,Software,Afternoon,Agent13,Yes,5,Open
84,07-07-2024,15-07-2024,2,Yes,Account,Night,Agent1,Yes,3,Pending
85,10-06-2024,15-06-2024,3,No,Software,Evening,Agent4,No,2,Open
86,25-10-2024,03-11-2024,4,Yes,Network,Morning,Agent9,Yes,2,Open
87,12-01-2024,18-01-2024,1,No,Network,Night,Agent9,Yes,3,Pending
88,14-09-2024,25-09-2024,5,Yes,Software,Night,Agent1,No,4,Closed
89,20-02-2024,25-02-2024,4,No,Network,Night,Agent17,No,2,Closed
90,08-12-2024,13-12-2024,5,Yes,Hardware,Morning,Agent5,Yes,1,Open
91,20-06-2024,04-07-2024,1,Yes,Hardware,Afternoon,Agent5,No,3,Closed
92,17-06-2024,28-06-2024,3,No,Network,Evening,Agent4,Yes,5,Closed
93,26-06-2024,11-07-2024,5,Yes,Account,Evening,Agent3,No,4,Closed
94,23-06-2024,05-07-2024,3,No,Account,Afternoon,Agent16,Yes,4,Closed
95,11-01-2024,20-01-2024,2,No,Hardware,Evening,Agent15,No,4,Closed
96,14-03-2024,23-03-2024,1,Yes,Hardware,Afternoon,Agent5,No,5,Pending
97,13-11-2024,24-11-2024,5,No,Software,Afternoon,Agent5,No,1,Pending
98,06-07-2024,13-07-2024,2,No,Network,Night,Agent2,No,2,Open
99,17-12-2024,30-12-2024,2,No,Network,Night,Agent5,Yes,1,Closed
100,06-04-2024,12-04-2024,3,No,Hardware,Night,Agent15,No,2,Pending
101,14-08-2024,23-08-2024,1,No,Software,Evening,Agent1,No,2,Closed
102,01-01-2024,08-01-2024,5,Yes,Account,Afternoon,Agent18,No,4,Closed
103,30-09-2024,15-10-2024,2,Yes,Account,Evening,Agent7,Yes,5,Open
104,21-05-2024,26-05-2024,5,No,Account,Night,Agent6,Yes,3,Pending
105,18-09-2024,24-09-2024,2,Yes,Account,Afternoon,Agent14,No,3,Pending
106,12-12-2024,23-12-2024,4,No,Account,Evening,Agent13,Yes,4,Open
107,02-08-2024,15-08-2024,5,Yes,Account,Morning,Agent7,No,2,Closed
108,24-06-2024,08-07-2024,1,No,Network,Afternoon,Agent10,Yes,3,Pending
109,19-11-2024,23-11-2024,4,Yes,Software,Night,Agent20,Yes,3,Closed
110,12-05-2024,22-05-2024,4,Yes,Account,Evening,Agent15,No,4,Open
111,09-01-2024,16-01-2024,5,Yes,Software,Night,Agent18,Yes,3,Open
112,21-03-2024,27-03-2024,4,No,Software,Night,Agent17,No,2,Open
113,11-10-2024,17-10-2024,2,No,Software,Night,Agent13,Yes,1,Closed
114,15-10-2024,23-10-2024,2,Yes,Hardware,Night,Agent7,No,4,Closed
115,06-11-2024,18-11-2024,1,No,Network,Afternoon,Agent3,No,4,Open
116,27-09-2024,11-10-2024,3,No,Network,Night,Agent3,Yes,2,Pending
117,28-07-2024,10-08-2024,1,No,Account,Evening,Agent4,Yes,3,Open
118,22-11-2024,07-12-2024,4,No,Network,Evening,Agent7,No,5,Closed
119,03-07-2024,18-07-2024,2,Yes,Software,Night,Agent5,No,3,Pending
120,28-03-2024,12-04-2024,2,No,Software,Evening,Agent18,Yes,3,Pending
121,14-06-2024,27-06-2024,2,Yes,Software,Morning,Agent19,No,4,Open
122,25-12-2024,07-01-2025,5,Yes,Software,Evening,Agent19,No,2,Closed
123,14-01-2024,21-01-2024,4,No,Software,Evening,Agent13,No,5,Closed
124,15-01-2024,19-01-2024,3,No,Software,Night,Agent3,No,5,Open
125,10-04-2024,20-04-2024,3,No,Account,Afternoon,Agent3,Yes,2,Closed
126,26-10-2024,31-10-2024,5,Yes,Hardware,Morning,Agent11,No,2,Pending
127,12-01-2024,26-01-2024,1,No,Hardware,Afternoon,Agent13,Yes,1,Open
128,28-01-2024,08-02-2024,1,Yes,Software,Afternoon,Agent17,Yes,5,Pending
129,28-01-2024,04-02-2024,2,No,Hardware,Evening,Agent11,No,2,Open
130,19-03-2024,31-03-2024,3,Yes,Account,Morning,Agent10,No,4,Closed
131,19-12-2024,26-12-2024,3,No,Account,Night,Agent17,No,1,Pending
132,10-01-2024,22-01-2024,2,No,Software,Evening,Agent9,No,2,Pending
133,03-12-2024,07-12-2024,5,Yes,Network,Morning,Agent9,No,4,Pending
134,22-08-2024,28-08-2024,2,Yes,Software,Afternoon,Agent13,Yes,1,Closed
135,13-05-2024,25-05-2024,2,No,Software,Afternoon,Agent12,No,2,Open
136,28-07-2024,01-08-2024,5,No,Account,Night,Agent9,Yes,1,Open
137,30-04-2024,14-05-2024,2,No,Software,Morning,Agent8,Yes,5,Closed
138,14-06-2024,24-06-2024,3,Yes,Account,Afternoon,Agent5,Yes,2,Open
139,08-08-2024,23-08-2024,4,No,Network,Night,Agent4,No,3,Closed
140,25-01-2024,07-02-2024,5,Yes,Network,Evening,Agent17,No,1,Closed
141,24-04-2024,29-04-2024,5,No,Account,Evening,Agent6,Yes,2,Open
142,01-08-2024,08-08-2024,3,No,Software,Evening,Agent1,Yes,4,Pending
143,19-11-2024,02-12-2024,1,No,Network,Evening,Agent5,Yes,1,Closed
144,25-08-2024,05-09-2024,2,No,Network,Night,Agent17,Yes,1,Closed
145,07-09-2024,20-09-2024,1,No,Network,Night,Agent19,Yes,3,Closed
146,15-06-2024,20-06-2024,5,Yes,Account,Night,Agent15,No,1,Open
147,11-01-2024,17-01-2024,1,Yes,Account,Night,Agent19,No,5,Pending
148,06-03-2024,17-03-2024,1,No,Hardware,Morning,Agent12,No,2,Pending
149,16-09-2024,21-09-2024,2,Yes,Hardware,Morning,Agent17,Yes,1,Closed
150,06-03-2024,20-03-2024,3,Yes,Software,Night,Agent8,Yes,1,Closed
151,05-11-2024,09-11-2024,4,Yes,Hardware,Morning,Agent1,No,1,Pending
152,20-08-2024,03-09-2024,1,No,Account,Morning,Agent5,No,5,Open
153,09-08-2024,23-08-2024,3,Yes,Network,Morning,Agent4,No,5,Closed
154,20-04-2024,05-05-2024,4,No,Account,Morning,Agent11,No,5,Pending
155,17-08-2024,31-08-2024,4,Yes,Hardware,Evening,Agent14,No,5,Pending
156,25-03-2024,31-03-2024,3,No,Software,Evening,Agent20,No,3,Open
157,28-10-2024,11-11-2024,2,No,Hardware,Morning,Agent19,Yes,4,Pending
158,26-06-2024,06-07-2024,5,No,Account,Afternoon,Agent8,No,3,Closed
159,20-12-2024,25-12-2024,2,Yes,Account,Night,Agent19,No,2,Open
160,22-01-2024,26-01-2024,5,No,Account,Evening,Agent2,No,2,Pending
161,17-12-2024,29-12-2024,5,No,Account,Evening,Agent1,No,4,Open
162,21-02-2024,02-03-2024,4,Yes,Hardware,Night,Agent2,Yes,4,Pending
163,06-06-2024,10-06-2024,2,Yes,Network,Night,Agent17,Yes,2,Closed
164,15-09-2024,24-09-2024,4,No,Network,Evening,Agent20,Yes,1,Open
165,19-04-2024,28-04-2024,1,Yes,Software,Afternoon,Agent8,No,5,Closed
166,30-07-2024,10-08-2024,5,Yes,Software,Afternoon,Agent19,Yes,2,Pending
167,19-03-2024,25-03-2024,4,Yes,Account,Night,Agent19,Yes,1,Open
168,11-02-2024,18-02-2024,3,Yes,Account,Evening,Agent10,No,5,Pending
169,19-04-2024,27-04-2024,2,No,Hardware,Evening,Agent5,No,1,Closed
170,18-05-2024,25-05-2024,5,Yes,Hardware,Evening,Agent7,Yes,1,Open
171,17-03-2024,25-03-2024,4,Yes,Hardware,Afternoon,Agent2,No,3,Open
172,26-09-2024,09-10-2024,4,Yes,Software,Morning,Agent14,Yes,2,Pending
173,13-03-2024,26-03-2024,3,No,Account,Morning,Agent2,Yes,5,Pending
174,10-10-2024,15-10-2024,3,No,Network,Afternoon,Agent6,Yes,5,Open
175,06-05-2024,10-05-2024,4,No,Hardware,Afternoon,Agent20,No,1,Open
176,25-11-2024,02-12-2024,1,No,Software,Evening,Agent12,No,3,Open
177,11-06-2024,17-06-2024,2,Yes,Network,Night,Agent3,Yes,1,Closed
178,07-08-2024,14-08-2024,3,Yes,Network,Morning,Agent19,Yes,4,Pending
179,17-04-2024,22-04-2024,2,No,Network,Night,Agent17,No,2,Open
180,15-06-2024,22-06-2024,5,Yes,Software,Morning,Agent1,No,4,Open
181,25-04-2024,29-04-2024,3,Yes,Account,Morning,Agent7,Yes,2,Pending
182,26-12-2024,31-12-2024,1,No,Hardware,Night,Agent5,No,5,Closed
183,21-03-2024,05-04-2024,4,No,Network,Morning,Agent9,No,5,Open
184,04-12-2024,18-12-2024,3,No,Software,Evening,Agent1,No,1,Closed
185,02-01-2024,17-01-2024,3,No,Software,Night,Agent14,No,3,Pending
186,03-07-2024,11-07-2024,2,Yes,Hardware,Afternoon,Agent8,No,4,Closed
187,19-04-2024,04-05-2024,1,No,Hardware,Afternoon,Agent13,Yes,3,Closed
188,16-11-2024,25-11-2024,1,Yes,Software,Evening,Agent15,Yes,3,Pending
189,03-09-2024,13-09-2024,1,No,Hardware,Evening,Agent6,Yes,2,Open
190,12-05-2024,17-05-2024,1,No,Hardware,Morning,Agent1,No,2,Closed
191,30-12-2024,09-01-2025,3,Yes,Hardware,Evening,Agent17,No,4,Closed
192,28-04-2024,10-05-2024,2,Yes,Hardware,Evening,Agent5,Yes,3,Pending
193,19-03-2024,29-03-2024,1,No,Network,Night,Agent13,Yes,5,Closed
194,04-03-2024,13-03-2024,2,No,Network,Night,Agent5,Yes,1,Pending
195,12-09-2024,24-09-2024,3,No,Account,Morning,Agent17,No,1,Open
196,28-10-2024,01-11-2024,3,Yes,Account,Evening,Agent20,Yes,1,Pending
197,26-10-2024,07-11-2024,5,No,Software,Morning,Agent8,No,1,Pending
198,17-11-2024,27-11-2024,1,Yes,Account,Morning,Agent10,No,4,Open
199,23-10-2024,31-10-2024,1,No,Network,Night,Agent7,Yes,4,Pending
200,22-07-2024,27-07-2024,5,No,Software,Morning,Agent16,Yes,1,Closed
201,06-04-2024,14-04-2024,4,Yes,Network,Afternoon,Agent20,No,4,Open
202,09-06-2024,24-06-2024,1,No,Account,Night,Agent15,No,5,Pending
203,20-08-2024,02-09-2024,3,Yes,Software,Evening,Agent20,No,4,Pending
204,01-06-2024,07-06-2024,4,Yes,Network,Afternoon,Agent4,No,2,Open
205,29-07-2024,04-08-2024,2,Yes,Software,Evening,Agent10,No,5,Pending
206,03-02-2024,12-02-2024,1,Yes,Hardware,Afternoon,Agent8,No,1,Open
207,24-08-2024,02-09-2024,1,No,Account,Evening,Agent10,No,5,Pending
208,17-10-2024,29-10-2024,5,No,Software,Night,Agent12,No,2,Closed
209,07-08-2024,11-08-2024,4,Yes,Software,Afternoon,Agent1,No,3,Pending
210,29-10-2024,03-11-2024,4,No,Network,Evening,Agent14,Yes,3,Pending
211,17-05-2024,28-05-2024,5,No,Hardware,Morning,Agent7,Yes,3,Pending
212,28-05-2024,07-06-2024,4,Yes,Network,Night,Agent19,Yes,4,Closed
213,23-10-2024,31-10-2024,4,No,Account,Afternoon,Agent16,No,3,Closed
214,30-12-2024,03-01-2025,5,Yes,Network,Morning,Agent11,Yes,5,Pending
215,13-02-2024,25-02-2024,1,Yes,Network,Afternoon,Agent4,Yes,4,Pending
216,23-10-2024,28-10-2024,2,Yes,Account,Afternoon,Agent1,No,2,Open
217,24-08-2024,05-09-2024,5,Yes,Account,Evening,Agent1,Yes,2,Closed
218,30-01-2024,09-02-2024,5,No,Software,Morning,Agent5,Yes,5,Closed
219,17-03-2024,30-03-2024,5,Yes,Network,Morning,Agent5,No,4,Pending
220,11-11-2024,18-11-2024,1,No,Network,Night,Agent2,No,3,Pending
221,06-07-2024,15-07-2024,4,Yes,Software,Night,Agent16,Yes,4,Closed
222,24-05-2024,01-06-2024,4,No,Software,Morning,Agent17,Yes,3,Closed
223,25-09-2024,05-10-2024,5,No,Hardware,Morning,Agent16,Yes,3,Closed
224,18-08-2024,30-08-2024,2,No,Software,Evening,Agent6,No,2,Pending
225,04-01-2024,15-01-2024,5,Yes,Network,Afternoon,Agent2,No,1,Pending
226,03-12-2024,11-12-2024,1,No,Software,Afternoon,Agent4,No,4,Pending
227,01-03-2024,09-03-2024,2,No,Account,Morning,Agent18,No,5,Pending
228,17-11-2024,21-11-2024,5,No,Account,Afternoon,Agent1,Yes,2,Closed
229,11-07-2024,18-07-2024,2,Yes,Hardware,Morning,Agent11,No,1,Closed
230,08-06-2024,13-06-2024,2,No,Network,Evening,Agent7,Yes,1,Pending
231,05-11-2024,13-11-2024,1,Yes,Software,Night,Agent16,Yes,3,Pending
232,07-11-2024,20-11-2024,4,No,Hardware,Morning,Agent17,Yes,2,Open
233,11-10-2024,16-10-2024,3,Yes,Network,Morning,Agent2,Yes,1,Pending
234,15-01-2024,22-01-2024,3,Yes,Account,Afternoon,Agent3,Yes,4,Pending
235,31-05-2024,13-06-2024,1,Yes,Network,Morning,Agent18,Yes,5,Closed
236,08-04-2024,14-04-2024,3,Yes,Software,Night,Agent15,No,5,Open
237,04-02-2024,13-02-2024,3,Yes,Network,Evening,Agent2,Yes,5,Closed
238,23-11-2024,02-12-2024,1,Yes,Software,Morning,Agent1,No,1,Open
239,23-08-2024,29-08-2024,1,Yes,Network,Evening,Agent16,Yes,2,Closed
240,18-09-2024,22-09-2024,5,No,Software,Night,Agent20,Yes,3,Closed
241,07-09-2024,13-09-2024,4,Yes,Account,Morning,Agent19,No,4,Pending
242,17-06-2024,25-06-2024,3,Yes,Hardware,Afternoon,Agent2,Yes,5,Open
243,08-12-2024,19-12-2024,3,Yes,Account,Night,Agent15,Yes,3,Closed
244,13-07-2024,23-07-2024,5,Yes,Network,Morning,Agent6,Yes,2,Closed
245,03-03-2024,07-03-2024,1,No,Account,Afternoon,Agent1,Yes,3,Pending
246,24-02-2024,03-03-2024,4,Yes,Account,Evening,Agent11,Yes,1,Pending
247,24-12-2024,29-12-2024,4,Yes,Hardware,Morning,Agent16,No,4,Open
248,23-10-2024,03-11-2024,2,Yes,Network,Morning,Agent19,Yes,4,Open
249,17-08-2024,01-09-2024,5,Yes,Account,Evening,Agent4,No,4,Open
250,16-10-2024,29-10-2024,1,No,Network,Night,Agent17,Yes,1,Closed
251,02-04-2024,10-04-2024,3,No,Account,Night,Agent16,Yes,1,Closed
252,03-01-2024,18-01-2024,3,Yes,Account,Night,Agent9,No,2,Pending
253,26-04-2024,09-05-2024,5,No,Account,Night,Agent19,No,5,Closed
254,05-05-2024,16-05-2024,5,No,Software,Evening,Agent12,No,5,Pending
255,16-06-2024,24-06-2024,1,No,Software,Afternoon,Agent8,Yes,1,Open
256,26-08-2024,08-09-2024,4,No,Account,Morning,Agent18,Yes,1,Closed
257,03-11-2024,10-11-2024,4,Yes,Software,Morning,Agent14,Yes,2,Closed
258,09-08-2024,17-08-2024,5,No,Account,Afternoon,Agent16,Yes,1,Open
259,17-05-2024,24-05-2024,1,Yes,Account,Evening,Agent9,Yes,4,Open
260,05-05-2024,10-05-2024,5,Yes,Hardware,Morning,Agent2,Yes,2,Open
261,20-08-2024,01-09-2024,4,No,Network,Afternoon,Agent1,No,3,Pending
262,08-04-2024,21-04-2024,3,Yes,Network,Afternoon,Agent18,No,2,Closed
263,05-05-2024,17-05-2024,4,Yes,Network,Morning,Agent20,Yes,2,Open
264,03-05-2024,12-05-2024,5,No,Account,Night,Agent16,Yes,1,Closed
265,13-03-2024,27-03-2024,3,Yes,Account,Night,Agent3,Yes,3,Closed
266,17-02-2024,21-02-2024,4,No,Hardware,Afternoon,Agent11,No,1,Open
267,15-12-2024,22-12-2024,5,No,Account,Morning,Agent8,No,3,Open
268,06-06-2024,21-06-2024,2,Yes,Software,Afternoon,Agent9,Yes,2,Closed
269,10-01-2024,20-01-2024,1,Yes,Hardware,Morning,Agent3,Yes,1,Pending
270,27-12-2024,05-01-2025,3,Yes,Hardware,Night,Agent14,Yes,5,Closed
271,09-08-2024,22-08-2024,2,Yes,Network,Night,Agent8,No,5,Pending
272,16-10-2024,24-10-2024,1,No,Hardware,Night,Agent13,Yes,4,Closed
273,04-10-2024,12-10-2024,3,No,Network,Night,Agent1,Yes,3,Closed
274,29-01-2024,07-02-2024,2,Yes,Software,Evening,Agent1,Yes,3,Closed
275,20-06-2024,04-07-2024,5,No,Software,Evening,Agent1,Yes,5,Closed
276,16-05-2024,26-05-2024,4,Yes,Account,Morning,Agent6,No,2,Closed
277,16-07-2024,23-07-2024,4,Yes,Network,Evening,Agent10,Yes,4,Open
278,10-05-2024,19-05-2024,1,Yes,Software,Night,Agent6,Yes,1,Open
279,25-07-2024,09-08-2024,2,Yes,Account,Afternoon,Agent18,Yes,4,Closed
280,03-02-2024,13-02-2024,5,Yes,Software,Evening,Agent15,No,1,Open
281,22-12-2024,31-12-2024,3,Yes,Network,Morning,Agent3,Yes,1,Pending
282,14-08-2024,19-08-2024,3,Yes,Software,Evening,Agent7,Yes,5,Closed
283,07-07-2024,12-07-2024,1,No,Account,Morning,Agent10,Yes,4,Open
284,26-02-2024,08-03-2024,4,Yes,Account,Night,Agent15,Yes,3,Closed
285,19-08-2024,26-08-2024,3,No,Network,Evening,Agent11,Yes,3,Closed
286,12-04-2024,18-04-2024,2,Yes,Hardware,Afternoon,Agent5,Yes,3,Pending
287,14-10-2024,22-10-2024,5,No,Hardware,Evening,Agent18,No,3,Pending
288,21-10-2024,04-11-2024,5,Yes,Network,Evening,Agent16,No,5,Pending
289,08-10-2024,23-10-2024,5,Yes,Account,Morning,Agent20,No,1,Pending
290,02-07-2024,11-07-2024,2,Yes,Software,Morning,Agent1,No,4,Pending
291,21-08-2024,27-08-2024,3,Yes,Account,Evening,Agent16,No,4,Open
292,19-06-2024,02-07-2024,1,Yes,Hardware,Evening,Agent17,Yes,5,Open
293,20-07-2024,27-07-2024,4,Yes,Software,Night,Agent17,No,5,Closed
294,03-06-2024,12-06-2024,1,No,Software,Night,Agent16,Yes,3,Pending
295,20-05-2024,27-05-2024,1,Yes,Software,Afternoon,Agent20,No,5,Open
296,24-12-2024,02-01-2025,2,Yes,Software,Morning,Agent18,No,5,Closed
297,09-02-2024,24-02-2024,5,No,Hardware,Morning,Agent8,Yes,4,Closed
298,21-12-2024,28-12-2024,2,Yes,Network,Night,Agent13,Yes,2,Closed
299,17-03-2024,22-03-2024,4,No,Network,Morning,Agent13,Yes,5,Pending
300,29-04-2024,03-05-2024,2,No,Hardware,Evening,Agent10,Yes,4,Closed
301,20-10-2024,25-10-2024,1,Yes,Software,Night,Agent12,No,1,Open
302,18-10-2024,02-11-2024,1,Yes,Account,Evening,Agent5,Yes,2,Pending
303,02-05-2024,12-05-2024,2,Yes,Account,Night,Agent6,No,5,Closed
304,31-10-2024,15-11-2024,2,No,Network,Afternoon,Agent19,No,1,Closed
305,27-10-2024,09-11-2024,1,Yes,Network,Evening,Agent8,No,2,Open
306,09-06-2024,24-06-2024,5,No,Network,Afternoon,Agent16,Yes,2,Open
307,27-01-2024,03-02-2024,1,Yes,Hardware,Afternoon,Agent3,Yes,1,Closed
308,21-08-2024,28-08-2024,5,No,Hardware,Night,Agent9,Yes,5,Pending
309,03-09-2024,14-09-2024,1,No,Account,Night,Agent16,Yes,1,Closed
310,29-09-2024,04-10-2024,3,No,Account,Afternoon,Agent19,No,1,Closed
311,11-02-2024,19-02-2024,3,Yes,Software,Morning,Agent15,Yes,3,Pending
312,21-09-2024,05-10-2024,3,Yes,Account,Afternoon,Agent20,No,2,Closed
313,02-05-2024,13-05-2024,2,Yes,Account,Night,Agent4,Yes,2,Closed
314,29-03-2024,06-04-2024,1,No,Account,Night,Agent18,Yes,4,Closed
315,15-05-2024,30-05-2024,1,Yes,Network,Afternoon,Agent8,No,5,Closed
316,26-09-2024,02-10-2024,2,Yes,Software,Evening,Agent6,Yes,3,Open
317,22-09-2024,07-10-2024,3,No,Software,Afternoon,Agent10,Yes,1,Open
318,13-08-2024,27-08-2024,5,No,Account,Evening,Agent1,Yes,4,Closed
319,27-09-2024,04-10-2024,2,Yes,Network,Night,Agent18,No,2,Closed
320,06-05-2024,17-05-2024,4,No,Account,Evening,Agent1,No,4,Closed
321,13-01-2024,20-01-2024,2,Yes,Software,Night,Agent13,Yes,4,Closed
322,26-02-2024,05-03-2024,2,No,Network,Night,Agent10,No,4,Open
323,23-09-2024,06-10-2024,3,Yes,Network,Evening,Agent1,No,3,Open
324,02-09-2024,15-09-2024,4,Yes,Network,Evening,Agent17,No,5,Pending
325,30-11-2024,14-12-2024,4,Yes,Account,Night,Agent2,No,2,Closed
326,18-02-2024,25-02-2024,3,No,Software,Morning,Agent13,Yes,3,Open
